trType,posX1,posY1,posZ1,posX2,posY2,posZ2
9,27206.1,54762.8,42397.3,27170.3,55041.3,47272.7
1,27206.1,54762.8,42397.3,27300.3,54651.0,48897.3
10,27170.3,55041.3,47272.7,27180.8,55267.5,51172.7
10,27170.3,55041.3,47272.7,27075.5,55181.3,51172.7
2,27206.1,54762.8,42397.3,27659.7,54735.9,46297.3
2,27206.1,54762.8,42397.3,27287.2,55593.9,46297.3
2,27206.1,54762.8,42397.3,27186.2,54929.7,46297.3
2,27206.1,54762.8,42397.3,27138.6,54528.0,46297.3
2,27206.1,54762.8,42397.3,26934.7,54954.7,46297.3
2,27206.1,54762.8,42397.3,28252.9,56522.1,46297.3
2,27206.1,54762.8,42397.3,25305.2,56939.8,46297.3
